"source";"test_type";"df1";"df2";"test_comp";"test_value";"p_comp";"reported_p";"computed_p";"raw";"error";"decision_error";"one_tailed_in_txt";"apa_factor";"date_received";"journal";"year_published";"period";"statcheck_journal";"reason";"remarks"
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;47;"=";1.24;"=";0.22;0.221130712230601;"t(47) = 1.24, p =.220";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;47;"=";2.61;"=";0.012;0.0121083360023531;"t(47) = 2.61, p =.012";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;47;"=";6.38;"=";0.015;0.0149705187919983;"F(1, 47) = 6.38, p =.015";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;128;"=";12.73;"=";5e-04;0.000507171280165616;"F(1, 128) = 12.73, p =.0005";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;128;"=";4.82;"=";0.03;0.0299340606943639;"F(1, 128) = 4.82, p =.03";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;128;"=";1.41;"=";0.24;0.237255290115933;"F(1, 128) = 1.41, p =.24";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;128;"=";11.74;"=";8e-04;0.000822858422047279;"F(1, 128) = 11.74, p =.0008";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"r";NA;128;"=";0.45;"<";1e-04;7.81163902537354e-08;"r(128) =.45, p <.0001";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"r";NA;128;"=";0.03;"=";0.72;0.734741339613489;"r(128) =.03, p =.72";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;126;"=";9.16;"=";0.003;0.0029998935817024;"F(1, 126) = 9.16, p =.003";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;126;"=";2.92;"=";0.004;0.0041481401241569;"t(126) = 2.92, p =.004";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;126;"=";-0.24;"=";0.81;0.810720271012175;"t(126) = −0.24, p =.81";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;126;"=";2.19;"=";0.03;0.0303653455546652;"t(126) = 2.19, p =.03";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";5.6;"=";0.018;0.0179604775260788;"χ 2(1, N = 178) = 5.60, p =.018";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";0.68;"=";0.41;0.409586724120726;"χ 2(1, N = 178) = 0.68, p =.41";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;30;"=";-0.57;"=";0.57;0.572922013002307;"t(30) = −0.57, p =.57";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;93;"=";2.62;"=";0.01;0.010269258978687;"t(93) = 2.62, p =.01";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";8.79;"=";0.003;0.00302886249206344;"χ 2(1, N = 264) = 8.79, p =.003";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";0.43;"=";0.51;0.511988948242565;"χ 2(1, N = 264) = 0.43, p =.51";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;46;"=";4.53;"=";0.039;0.0386940286495003;"F(1, 46) = 4.53, p =.039";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";2;124;"=";5.53;"=";0.005;0.00500594721896507;"F(2, 124) = 5.53, p =.005";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";2;124;"=";0.08;"=";0.92;0.923163951383659;"F(2, 124) = 0.08, p =.92";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;7;"=";5.73;"<";0.01;0.000712934439942803;"t(7) = 5.73, p < .01";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;7;"=";6.09;"<";0.001;0.00049594775033316;"t(7) = 6.09, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;7;"=";0.57;"ns";NA;0.586497710282989;"t(7) = .57, ns.";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;7;"=";3.64;"<";0.01;0.00828709537723325;"t(7) = 3.64, p < .01";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;7;"=";1.66;"=";0.141;0.140874135351912;"t(7) = 1.66, p = .141";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;7;"=";4.67;"<";0.01;0.00228749325504147;"t(7) = 4.67, p < .01";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;7;"=";4.47;"<";0.01;0.00290093601376351;"t(7) = 4.47, p < .01";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;7;"=";1.34;"=";0.224;0.222107743856581;"t(7) = 1.34, p = .224";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;15;"=";2.98;"<";0.05;0.00934554719105573;"t(15) = 2.98, p < .05";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;15;"=";4.21;"<";0.01;0.000757451755348098;"t(15) = 4.21, p < .01";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;15;"=";1.29;"=";0.738;0.216584487362497;"t(15) = 1.29, p = .738";TRUE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;15;"=";2.13;"=";0.051;0.0501371749603891;"t(15) = 2.13, p = .051";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;15;"=";1.4;"=";0.181;0.181856081403569;"t(15) = 1.40, p = .181";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;15;"=";0.77;"ns";NA;0.453256609817083;"t(15) = .77, ns";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;15;"=";1.9;"=";0.077;0.0768310257160086;"t(15) = 1.90, p = .077";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;15;"=";2.88;"<";0.05;0.0114495492033917;"t(15) = 2.880, p < .05";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;23;"=";8.74;"<";0.001;9.09845446222783e-09;"t(23) = 8.74, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;23;"=";10.06;"<";0.001;6.82784959217106e-10;"t(23) = 10.06, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;23;"=";2.64;"<";0.05;0.0146349415089346;"t(23) = 2.64, p < .05";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;23;"=";6.72;"<";0.001;7.4417659287878e-07;"t(23) = 6.72, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;23;"=";9.92;"<";0.001;8.8936722068312e-10;"t(23) = 9.92, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;23;"=";9.46;"<";0.001;2.15600915403348e-09;"t(23) = 9.46, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;23;"=";2.16;"<";0.05;0.0414360106208227;"t(23) = 2.16, p < .05";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;23;"=";16.37;"<";0.001;3.61622409297083e-14;"t(23) = 16.37, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";5.72;"<";0.001;1.80629328721605e-06;"t(35) = 5.72, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";3.88;"<";0.001;0.000441123726087357;"t(35) = 3.88, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";9.32;"<";0.001;5.17821078714416e-11;"t(35) = 9.32, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";13.03;"<";0.001;5.47950453086994e-15;"t(35) = 13.03, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";4.2;"<";0.001;0.000174376689307134;"t(35) = 4.20, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";8.19;"<";0.001;1.19417626763124e-09;"t(35) = 8.19, p < .001";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";1.16;"=";0.252;0.253900836654733;"t(35) = 1.16, p = .252";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";1.72;"=";0.095;0.0942646994029562;"t(35) = 1.72, p = .095";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";3.55;"<";0.01;0.0011216897774692;"t(35) = 3.55, p < .01";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";2.92;"<";0.01;0.00608673491954605;"t(35) = 2.92, p < .01";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";1.63;"=";0.113;0.112069780921551;"t(35) = 1.63, p = .113";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";1.91;"=";0.064;0.0643553222814701;"t(35) = 1.91, p = .064";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";3.5;"<";0.006;0.00128883945439104;"t(35) = 3.50, p < .006";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";5.08;"<";0.006;1.25968308721073e-05;"t(35) = 5.08, p < .006";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";3.76;"<";0.006;0.000621299251207924;"t(35) = 3.76, p < .006";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";2.5;"=";0.017;0.0172557431786035;"t(35) = 2.50, p = .017";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";4.46;"<";0.006;8.09717035774096e-05;"t(35) = 4.46, p < .006";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";7.28;"<";0.006;1.66856286414831e-08;"t(35) = 7.28, p < .006";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";5.4;"<";0.006;4.77488050834292e-06;"t(35) = 5.40, p < .006";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"Is the binding of visual features in working memory resource-demanding   EBSCOhost";"t";NA;35;"=";1.19;"=";0.242;0.242056008809602;"t(35) = 1.19, p = .242";FALSE;FALSE;TRUE;0.35;"2005-04-20";"JEPG";2006;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"t";NA;244;"=";-7.41;"<";0.01;2.06153396470098e-12;"t(244) = −7.41, p < .01";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"t";NA;244;"=";-2.12;"<";0.05;0.0350157715907252;"t(244) = −2.12, p < .05";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"t";NA;95;"=";1.88;"=";0.06;0.0631722726388521;"t(95) = 1.88, p = .06";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"t";NA;149;"=";1.06;"=";0.29;0.290859857750904;"t(149) = 1.06, p = .29";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"t";NA;93;"=";1.81;"<";0.05;0.0367628236404324;"t(93) = 1.81, p < .05";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"t";NA;14;"=";1.54;"=";0.06;0.145853725749108;"t(14) = 1.54, p = .06";TRUE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"Chi2";4;NA;"=";79.45;"<";0.01;2.27778537095557e-16;"2(4, N = 150) = 79.45, p < .01";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"Chi2";4;NA;"=";41.65;"<";0.01;1.97138599409815e-08;"2(4, N = 96) = 41.65, p < .01";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"Chi2";1;NA;"=";6.5;"<";0.05;0.0107874492546704;"2(1, N = 150) = 6.50, p < .05";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"Chi2";1;NA;"=";2.04;"=";0.15;0.153209646219568;"2(1, N = 96) = 2.04, p = .15";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"Chi2";2;NA;"=";0.94;"=";0.63;0.625002268282701;"2(2, N = 246) = 0.94, p = .63";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
"The role of working memory in syntactic ambiguity resolution  A psychometri...  EBSCOhost";"t";NA;290;"=";6.11;"<";0.01;3.20116353721114e-09;"t(290) = 6.11, p < .01";FALSE;FALSE;TRUE;0.91;"2006-01-10";"JEPG";2007;0;0;NA;NA
